Name,Qentry,Lattitude,Longitude,Marker,InfoWindow,EssayTitle,EssayLink,NextTitle,OtherLink
Stephanie02,39,51.5075,0.1278,"London, England",An ancient craft-form from a destination in the Eurasian continent,Europe During the Iron Age,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.2dvfyuxh8f4z,"Pyrenees, Spain",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.8c35rwbda0zk
Kadin03,42,42.6682,1.0012,"Pyrenees, Spain","Some place where a species used to live, but has now gone extinct due to mankind",The Pyrenean Ibex - An Animal that has Gone Extinct Due to Mankind,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.8c35rwbda0zk,"Freetown, Sierra Leone",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.j3zm9b11h6i9
CJ01,8,8.4657,13.2317,"Freetown, Sierra Leone",A place where there is a conflict over resources,The Blood Diamonds of Sierra Leone,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.j3zm9b11h6i9,"Freetown, Sierra Leone",https://www.cnn.com/2012/04/26/world/africa/blood-diamonds/index.html
Challenge Box 3,,8.4657,13.2317,"Freetown, Sierra Leone",,Blood Diamonds of Sierra Leone,https://www.cnn.com/2012/04/26/world/africa/blood-diamonds/index.html,"Cape Town, South Africa",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.yg0h7zyomc81
Stephanie03,54,33.9524,18.4591,"Cape Town, South Africa",A monument (ancient or modern),"Rhodes Memorial in Cape Town, South Africa",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.yg0h7zyomc81,"Kinsasha, Democratic Republic of the Congo",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.6w7f7hrs3glc
CJ02,26,4.4419,15.2663,"Kinsasha, Democratic Republic of the Congo",A place that is dangerous due to geography,Poverty in DRC,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.6w7f7hrs3glc,"Kigali, Rwanda",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.vw8u7klkaeh
Maria03,7,1.9706,30.1044,"Kigali, Rwanda",A place where a genocide took place so you can document the causes and impacts,The Rwandan Genocide,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.vw8u7klkaeh,"Kampala, Uganda",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.nm5g4rff5z8q
CJ03,50,0.3476,32.5825,"Kampala, Uganda",A place where the after-effects of war are still felt,War in Uganda,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.nm5g4rff5z8q,"Kakuma, Kenya",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.1h2v7bf2r1tf
McKenzie03,83,3.7168,34.8569,"Kakuma, Kenya",A refugee camp,The Kakuma Refugee Camp in Kenya,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.1h2v7bf2r1tf,"Afar Region, Ethiopia",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.s98sf6oa3g8e
Maria04,44,13.6069,40.6617,"Afar Region, Ethiopia",A place that is thermally active #1,A Place that is Thermally Active: East African Rift System,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.s98sf6oa3g8e,"Sana'a, Yemen",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.xveyqrwqr0rw
Amethyst01,31,15.3694,44.191,"Sana'a, Yemen",A place at war or in political conflict,The Ongoing Conflict in the Arab Country of Yemen,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.xveyqrwqr0rw,"Cairo, Egypt",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.thcm72efo97f
Stephanie04,63,30.0444,31.2357,"Cairo, Egypt",A place where salt is (or was) special,Sea Salt Collection,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.thcm72efo97f,"Cairo, Egypt",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.iofdhaunoizt
Amethyst02,59,30.0445,31.2357,"Cairo, Egypt","A place where meat, fish, or other fod is preserved in an interesting way",The Way Egyptians Preserve Food,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.iofdhaunoizt,"Palmyra, Syria",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.v5rb133q4aki
CJ04,57,34.57,38.2922,"Palmyra, Syria",An ancient monument that has been damaged,The Ancient City of Palmyra,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.v5rb133q4aki,"Tehran, Iran",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ykgju83anxtk
CJ05,33,35.6892,51.389,"Tehran, Iran",A place where there is an ongoing conflict over water,Water Crisis in the Middle East,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ykgju83anxtk,"Kabul, Afghanistan",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.w7cnach004qy
Amethyst03,36,34.5553,69.2075,"Kabul, Afghanistan",Some place that is dangerous due to extremism or terrorism,Terrorism in Afghanistan,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.w7cnach004qy,"Aurangabad, India",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.rt1klb5b3zu4
Maria05,21,20.0268,75.1771,"Aurangabad, India",A cave system in Southern Asia,"A Cave System in Southern Asia: The Ellora Caves, Aurangabad, India",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.rt1klb5b3zu4,"Nagpur, India",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.fge84izb5c0v
McKenzie04,13,21.1458,79.0882,"Nagpur, India",A place where there has been unrest regarding social justice issues,The Rape Issues in India,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.fge84izb5c0v,"Mal_, Maldives",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.aom25oi0u4yx
Stephanie05,43,4.1755,73.5093,"Mal_, Maldives",A destination on the seas,A Trip to the Maldives,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.aom25oi0u4yx,"Gobi Desert, Mongolia",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.z3q5ajn4faj6
Maria06,17,42.7952,105.0324,"Gobi Desert, Mongolia",A destination where you must travel by pack animal,A Destination Where You Must Travel by Pack Animal: The Gobi Desert,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.z3q5ajn4faj6,"Ulaanbaatar, Mongolia",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.y7lh5kvl4pdd
Stephanie06,18,47.8864,106.9057,"Ulaanbaatar, Mongolia",A herding community,The Herding Community of Mongolia,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.y7lh5kvl4pdd,"Verkhoyansk, Russia",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.lxxo2q82700g
CJ06,20,67.5506,133.3993,"Verkhoyansk, Russia",A place that is dangerous due to geography,"Verkhoyansk, Russia -- The Coldest Place on the Planet",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.lxxo2q82700g,"Shaanxi, China",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.kh48uypsgjf
Amethyst04,70,35.394,109.188,"Shaanxi, China",A destination where you can explore an ancient tomb #1,The Terracotta Army in China,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.kh48uypsgjf,"Ph“ Qu_c, Vietnam",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.311kib5cdffl
Kadin04,9,10.2899,103.984,"Ph“ Qu_c, Vietnam",A destination in one of the international student's countries #1,"The Beautiful Island of Ph“ Qu_c, Vietnam",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.311kib5cdffl,"Pattaya, Thailand",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.j81045u1ir4o
Tran03,64,12.9236,100.8825,"Pattaya, Thailand",A destination where you must do something out of your comfort zone,"An Extraordinary Adventure in the Skies of Pattaya, Thailand",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.j81045u1ir4o,"Sulawesi, Indonesia",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.hpanqip0hc8d
CJ07,67,1.8479,120.5279,"Sulawesi, Indonesia",A destination where you can view ancient cave paintings,"Cave Paintings on the Island of Sulawesi, Indonesia",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.hpanqip0hc8d,"Java, Indonesia",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.ak896r2kjcf2
McKenzie05,10,7.6145,110.7122,"Java, Indonesia",A destination in one of the international student's countries #2,Indonesia - The Country of Islands,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.ak896r2kjcf2,"Bali, Indonesia",https://www.lonelyplanet.com/indonesia/bali/travel-tips-and-articles/essential-bali-travel-tips-what-to-know-before-you-go/40625c8c-8a11-5710-a052-1479d277522a
Challenge Box 4,,8.4095,115.1889,"Bali, Indonesia",,"Bali, Indonesia",https://www.lonelyplanet.com/indonesia/bali/travel-tips-and-articles/essential-bali-travel-tips-what-to-know-before-you-go/40625c8c-8a11-5710-a052-1479d277522a,"Komodo Island, Indonesia",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.nsl5yrpc0qvr
Maria07,58,8.585,119.4411,"Komodo Island, Indonesia",A place where you can find a species that is only endemic to one specific region,A Place Where You Can Find a Species That is Only Endemic to One Specific Region: The Komodo Dragon,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.nsl5yrpc0qvr,"Tasmania, Australia",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.8y0w04xnlw5o
Tran04,35,41.4545,145.9707,"Tasmania, Australia",A destination where the water chemistry is unique in some extraordinary way,"A Stunning Light Show on the Sea Coast of Tasmania, Australia",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.8y0w04xnlw5o,"Peleliu Island, Palau",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.d9uillth3jw0
Amethyst05,78,7.0023,134.2432,"Peleliu Island, Palau","A place where you can go deep sea fishing, diving in the deep, or sea-life watching","The Blue Coral Wall of Peleliu, Micronesia",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.d9uillth3jw0,"Luzon Island, Philippines",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.nnycocnrtyhs
Tran05,6,16.5662,121.2626,"Luzon Island, Philippines",A palce where an eruption once occurred,Mount Pinatubo and the Second Largest Eruption of the 20th Century,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.nnycocnrtyhs,"Hiroshima, Japan",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.awvueriwych
Tran06,1,34.3852,132.4553,"Hiroshima, Japan",A destination of religious significance (ancient or modern),"Itsukushima: the floating Shinto Shrine of Hiroshima, Japan",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.awvueriwych,"Seoul, South Korea",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.5besrvg8m8yz
Tran07,22,37.5665,126.978,"Seoul, South Korea",A place of entertainment or consumption,"SMTOWN Theme Park in Seoul, South Korea: A Paradise for K-Pop Gans",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.5besrvg8m8yz,"Seoul, South Korea",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.qte2lk9075rb
Tran08,46,37.5794,126.991,"Seoul, South Korea",Some place where remarkable art exists,"The fascinating architecture of Changdeokgung, Seoul, South Korea",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.qte2lk9075rb,"Wajima City, Japan",https://docs.google.com/document/d/1I5Ve7GUOyJf5B31XY9Q4ioP4n6GGuuCuf6EOv4lPTp4/edit#bookmark=id.hv8hp956pdh5
Challenge Box 2,,37.3906,136.8992,"Wajima City, Japan",,The Ama Pearl Divers of Japan,https://docs.google.com/document/d/1I5Ve7GUOyJf5B31XY9Q4ioP4n6GGuuCuf6EOv4lPTp4/edit#bookmark=id.hv8hp956pdh5,"Chiba, Japan",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ddziyw0erb0
Tran07,32,35.6051,140.1233,"Chiba, Japan",A concert or dance where the theme is completely new to you,"A Virtual Concert in Chiba, Japan",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ddziyw0erb0,"California, USA",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.217lzvppbtt2
Amethyst06,76,36.7783,119.4179,"California, USA",A place where mankind has had to deal with either too little or too much water,"The Low Supply of Water in California, USA",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.217lzvppbtt2,"Los Angeles, CA, USA",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.t7uz9w901fcr
Stephanie07,16,34.0522,118.2437,"Down Town Los Angeles, CA, USA",A huge metropolis,Los Angeles - A Large Metropolis,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.t7uz9w901fcr,"Phoenix, AZ, USA",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.ksjdjvrey9t6
Kadin05,56,33.4498,111.9492,"Phoenix, AZ, USA",A place where you can learn about an endangered specis and explore its habitat,A Place Where You Can Learn About Endangered Species and Their Habitat: PhxZoo,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.ksjdjvrey9t6,"Moab, UT, USA",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.aal5oe6pbmgr
Amethyst07,69,38.5733,109.5498,"Moab, UT, USA",A place where there are ancient petroglyphs,"Petroglyphs at Kane Creek Blvd, Utah",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.aal5oe6pbmgr,"Colorado, USA",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.2rt1jrkf4mlq
Kadin06,14,40.3428,105.6836,"Colorado, USA","A desert, a trail, or a mountain range",Rocky Mountains - A Magnificent Mountain Range in North America,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.2rt1jrkf4mlq,"Ferguson, MO, USA",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.9jqz3wwf2yuq
McKenzie06,15,38.7442,90.3054,"Ferguson, MO, USA",A destination where protests are occurring,"The Shooting of Michael Brown and Ensuing Protests in Ferguson, Missouri",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.9jqz3wwf2yuq,"Chicago, IL, USA",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.ng4fmc2g8x9t
McKenzie07,53,41.8781,87.6298,"Chicago, IL, USA",A place where people are being exploited today,Human Trafficking in the United States,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.ng4fmc2g8x9t,"Ontario, Canada",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.b20bfdjkkiev
McKenzie08,34,43.0896,79.0849,"Ontario, Canada",A naturally-occuring watefall or underground water system,Niagara Falls,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.b20bfdjkkiev,"Plymouth, MA, USA",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.c83fhz8xbujc
McKenzie09,52,41.9584,70.6673,"Plymouth, MA, USA",A place where people have been exploited in the past,Slavery and Exploitation in Colonial USA,https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.c83fhz8xbujc,"Tarpon Springs, FL, USA",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.1z2h41urkmnn
Kadin07,47,28.1461,82.7568,"Tarpon Springs, FL, USA","A place where you can go reef, sponge, or pearl diving","Sponge diving at Tarpon Springs, Florida",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.1z2h41urkmnn,"Orlando, FL, USA",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.vy5ssi1co2bj
Kadin08,41,28.5383,81.3792,"Orlando, FL, USA",A destination where you can engage in bird watching,A Destination Where You Can Engage in Bird Watching: The Great Florida Birding Trail,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.vy5ssi1co2bj,"Alabama, USA",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.9pakc7vz5o7c
Kadin09,78,30.2697,87.5868,"Alabama, USA","A place where you can go deep sea fishing, diving in the deep, or sea-life watching",Orange beach Alabama - A place where you can go deep sea fishing,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.9pakc7vz5o7c,"Mexico City, Mexico",https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.plesccukp9an
?Texas,,to be removed,,,,,,,
CJ08,2,19.4326,99.1332,"Mexico City, Mexico",A macabre destination of either religious or cultural significance,The Mayan Ball Game,https://docs.google.com/document/d/1qJLpXZlmpORZZHptyLGWiN6zENRhGZF0LK5TkqKcp58/edit#bookmark=id.plesccukp9an,"Guatemala City, Guatemala",https://docs.google.com/document/d/1jf0ato_CMs-fmfB5YfHXD-6CV5Qr92B_6KjIWCe77OI/edit#bookmark=id.ni3g0dlbztux
Challenge Box 1,,14.6349,90.5069,"Guatemala City, Guatemala",,"Guatemala, Friendship Bracelets, and the Genocide",https://docs.google.com/document/d/1jf0ato_CMs-fmfB5YfHXD-6CV5Qr92B_6KjIWCe77OI/edit#bookmark=id.ni3g0dlbztux,"Quito, Ecuador",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.mpuht7nnfj88
